"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","2","10uF","C1,C2","C0603","10uF","TCC0603X5R106K160CT","CCTC(三环)","C18164635","LCSC"
"2","2","1uF","C3,C4","C0603","1uF","CL10A105KB8NNNC","SAMSUNG(三星)","C15849","LCSC"
"3","2","100nF","C5,C6","C0603","100nF","CL10A104KA8NNNC","SAMSUNG(三星)","C2762593","LCSC"
"4","2","HC-PM254-8.5H-2x20PS","CN_E-Paper,CN_PI","HDR-SMD_40P-P2.54-V-F-R2-C20-LS7.1","","HC-PM254-8.5H-2x20PS","HC(虹成电子)","C22436166","LCSC"
"5","1","OSHW-LOGOS","Logo1","OSHW-LOGO-S","OSHW","","","",""
"6","64","WS2812E-2020","U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63","LED-SMD_4P-L2.2-W2.0-BL","","WS2812E-2020","worldsemi","C42417603","LCSC"
